Window,Metric,Component,FitIntercept,FitSlope,FitR2,NumFitPoints
famp1,MAE,kxx,-1.07368718528601,-0.488758768113833,0.992968250560527,11
famp1,MAE,kyy,-1.26259362683928,-0.477523693739283,0.988255426686116,11
famp1,MAE,kzz,-1.19473672323761,-0.484966145843983,0.990849052492414,11
famp1,Hellinger,kxx,0.163198175556473,-0.52505628405625,0.992206508521193,11
famp1,Hellinger,kyy,-0.013120030804709,-0.440971712356508,0.983455513295943,11
famp1,Hellinger,kzz,-0.0834631497653539,-0.431533360355469,0.988652737416201,11
famp1,Wasserstein,kxx,-0.0112263510608871,-0.494518056843391,0.979807676243052,11
famp1,Wasserstein,kyy,-0.239817861455166,-0.486650186934326,0.993225371247511,11
famp1,Wasserstein,kzz,-0.000653891429933297,-0.512510351526711,0.978072322607324,11
famp2,MAE,kxx,-1.07147665914049,-0.491918591901046,0.993459174977784,11
famp2,MAE,kyy,-1.01159596281457,-0.489809210784975,0.993361427169712,11
famp2,MAE,kzz,-1.11572369942507,-0.491236755829951,0.995727901806807,11
famp2,Hellinger,kxx,0.130230916651992,-0.511571866394611,0.993524715713536,11
famp2,Hellinger,kyy,0.128337209024427,-0.496208233654332,0.995011477094228,11
famp2,Hellinger,kzz,0.079921172626659,-0.481850432687697,0.993972497454368,11
famp2,Wasserstein,kxx,-0.0732407486944334,-0.475488494738647,0.980602253295111,11
famp2,Wasserstein,kyy,0.0847619550958734,-0.484646632748092,0.981384781419224,11
famp2,Wasserstein,kzz,-0.082010658872891,-0.462800714828651,0.993565633339378,11
famp3,MAE,kxx,-1.11028898018849,-0.467585517146853,0.995219440873071,11
famp3,MAE,kyy,-1.01526756023677,-0.492337731860574,0.996005696111573,11
famp3,MAE,kzz,-1.06715499474324,-0.507257694443438,0.992694383518805,11
famp3,Hellinger,kxx,0.0698341442034772,-0.481992366778244,0.994081856331381,11
famp3,Hellinger,kyy,0.113801166035581,-0.484513170102293,0.996894681621275,11
famp3,Hellinger,kzz,0.0406022250792723,-0.462098543074756,0.997822956264338,11
famp3,Wasserstein,kxx,0.053766896646786,-0.518976169542371,0.991099738089498,11
famp3,Wasserstein,kyy,0.168898179290569,-0.52321537333194,0.988574433775026,11
famp3,Wasserstein,kzz,-0.0147426614492541,-0.487331235528314,0.983121470351867,11
famp4,MAE,kxx,-1.09973127538242,-0.480082857964827,0.992129468270608,11
famp4,MAE,kyy,-1.01740957362689,-0.487816775548781,0.994815826802123,11
famp4,MAE,kzz,-1.24914154054822,-0.43232904405375,0.993990807027681,11
famp4,Hellinger,kxx,0.0558599096138292,-0.481041999729569,0.995010448549727,11
famp4,Hellinger,kyy,0.126969498308802,-0.486357144063705,0.995562524566066,11
famp4,Hellinger,kzz,0.0271923991538439,-0.455093171795018,0.995647418590746,11
famp4,Wasserstein,kxx,-0.0806443373298459,-0.466955781084954,0.977542429527645,11
famp4,Wasserstein,kyy,0.148724619109298,-0.496478939664019,0.984769548506375,11
famp4,Wasserstein,kzz,-0.000214884377380451,-0.497822597471319,0.9709397360185,11
famp5,MAE,kxx,-1.07762343852372,-0.473947522960235,0.997608280127764,11
famp5,MAE,kyy,-1.05388831036634,-0.482389680849828,0.992191421928484,11
famp5,MAE,kzz,-1.10552708082917,-0.488269957912191,0.994868844930336,11
famp5,Hellinger,kxx,0.0885963525503774,-0.486616865425417,0.998306106966037,11
famp5,Hellinger,kyy,0.155768362680257,-0.50469054660335,0.997065531433934,11
famp5,Hellinger,kzz,0.0673342346400583,-0.467392893873157,0.996161004226778,11
famp5,Wasserstein,kxx,0.057073432293201,-0.510117658420794,0.980951925713024,11
famp5,Wasserstein,kyy,0.0812843984792231,-0.483114902184792,0.959146877852857,11
famp5,Wasserstein,kzz,0.0566023214879371,-0.514436729002946,0.974110070046596,11
famp6,MAE,kxx,-1.02227699403242,-0.500901871961034,0.996468080808541,11
famp6,MAE,kyy,-1.18474607352988,-0.502410456416079,0.995995262992967,11
famp6,MAE,kzz,-1.11999255889613,-0.478156748046828,0.99143225907426,11
famp6,Hellinger,kxx,0.186584162738677,-0.532782393535112,0.991394432694227,11
famp6,Hellinger,kyy,-0.0866289778795307,-0.477619204188896,0.987483552469585,11
famp6,Hellinger,kzz,0.0792858999254903,-0.476823456506125,0.996378455393684,11
famp6,Wasserstein,kxx,0.00918197914295269,-0.473286569342358,0.950395938215599,11
famp6,Wasserstein,kyy,-0.251391089340413,-0.516196057486986,0.984619929884461,11
famp6,Wasserstein,kzz,0.0330119997709401,-0.499793110330618,0.99053708331229,11
