"Component","Nsim","W1","W2","W3","W4","W5","W6"
"kxx","20","0.204797","0.211414","0.247855","0.216388","0.282366","0.228969"
"kxx","50","0.137222","0.143084","0.146398","0.133118","0.139280","0.146898"
"kxx","100","0.118417","0.083359","0.100813","0.081751","0.095319","0.154868"
"kxx","200","0.079745","0.069705","0.076768","0.086817","0.078365","0.080413"
"kxx","300","0.055016","0.060006","0.054759","0.058636","0.058110","0.069968"
"kxx","400","0.052811","0.044039","0.047833","0.045788","0.052791","0.058487"
"kxx","500","0.041373","0.041339","0.042309","0.040876","0.051752","0.046034"
"kxx","750","0.033663","0.034077","0.043380","0.038999","0.042807","0.041988"
"kxx","1000","0.027582","0.033918","0.029907","0.034543","0.036751","0.052235"
"kxx","1500","0.027677","0.023622","0.025795","0.027175","0.029200","0.027447"
"kxx","2000","0.024976","0.027009","0.021756","0.024499","0.020123","0.027632"
"kyy","20","0.142728","0.263048","0.316575","0.332363","0.241977","0.128954"
"kyy","50","0.083907","0.193281","0.189110","0.213341","0.168516","0.075731"
"kyy","100","0.056914","0.147843","0.142863","0.130357","0.135740","0.045683"
"kyy","200","0.042458","0.092904","0.089725","0.097028","0.116792","0.034177"
"kyy","300","0.037157","0.069803","0.073820","0.076097","0.092482","0.028516"
"kyy","400","0.032729","0.059750","0.059162","0.086308","0.076607","0.026227"
"kyy","500","0.025558","0.064104","0.058723","0.062387","0.050864","0.025515"
"kyy","750","0.023275","0.047264","0.040606","0.049509","0.050613","0.019989"
"kyy","1000","0.021695","0.045047","0.036257","0.041490","0.043431","0.013783"
"kyy","1500","0.015479","0.040637","0.037015","0.040156","0.034017","0.011995"
"kyy","2000","0.014641","0.026890","0.029851","0.034298","0.025153","0.012353"
"kzz","20","0.217517","0.207192","0.263071","0.273289","0.266006","0.227462"
"kzz","50","0.138326","0.139275","0.142942","0.136491","0.150693","0.150238"
"kzz","100","0.103439","0.097886","0.085080","0.090748","0.108574","0.124029"
"kzz","200","0.056988","0.070043","0.066493","0.068720","0.078926","0.083624"
"kzz","300","0.049502","0.065437","0.058203","0.058656","0.054759","0.058560"
"kzz","400","0.043654","0.047600","0.056538","0.045058","0.051959","0.054114"
"kzz","500","0.050014","0.043199","0.044838","0.044175","0.038455","0.044572"
"kzz","750","0.032776","0.038185","0.040320","0.029922","0.032003","0.038517"
"kzz","1000","0.024418","0.033228","0.032774","0.035552","0.033369","0.032428"
"kzz","1500","0.026219","0.029711","0.028635","0.028910","0.033582","0.027846"
"kzz","2000","0.021354","0.025182","0.024829","0.026294","0.024060","0.025839"
