Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.07694466395688,0.0264203914765354,0.0397292910684818,0.0589707292711589,0.0739179418055238,0.0911356259385507,0.123061400508154
famp1,Ky,2000,0.128125404454944,0.0544175791152075,0.0667277404154502,0.0940514814215324,0.118284301574638,0.147816303712598,0.226125365770328
famp1,Kz,2000,0.216528616647605,0.0960811361007063,0.0663787135262618,0.150506852497881,0.210887117964472,0.278551725099325,0.380422750690876
famp2,Kx,2000,0.0464066270987473,0.0224180726850301,0.0154766456165726,0.0312724523163656,0.0436798497141436,0.0579169245612525,0.0883535118010085
famp2,Ky,2000,0.0808597964816893,0.05996376022951,0.0204154358310672,0.04491464502365,0.0689045319690623,0.100904636604447,0.178114811623375
famp2,Kz,2000,0.234730441263227,0.121294852463649,0.0521631032812509,0.150475973477353,0.224823613329364,0.308153488653508,0.450699016950663
famp3,Kx,2000,0.0668928616208376,0.0336561659673846,0.0219263661848973,0.0426852812464117,0.0617627495815135,0.0858481461023023,0.128034772979927
famp3,Ky,2000,0.114674472407108,0.0900932656804071,0.0248668909694176,0.0607169879387447,0.0943395051053961,0.14375137582657,0.255580515887469
famp3,Kz,2000,0.35863582695528,0.185187309913684,0.0722626043912133,0.229422316154747,0.348658039705633,0.472028019894212,0.677545139292648
famp4,Kx,2000,0.100066214783042,0.0472928991279505,0.0349345468832001,0.0662625354709097,0.0935558366369638,0.127821706611209,0.185611118569436
famp4,Ky,2000,0.170321244722468,0.13820828017898,0.0371858411751031,0.089463650554439,0.139739397856998,0.211093707483197,0.399991639870838
famp4,Kz,2000,0.559133187110834,0.276291113491361,0.132423440088845,0.376680426569057,0.541591633695133,0.718124644842565,1.04600524271229
famp5,Kx,2000,0.152467203707177,0.0765474734501436,0.0532471609288009,0.100015704674866,0.141964408349963,0.191169148219075,0.281783408751698
famp5,Ky,2000,0.26401347331925,0.232375936197273,0.0534737026260408,0.139642273627507,0.214946130448857,0.325890763887194,0.578843648242286
famp5,Kz,2000,0.816594261308242,0.414736400381161,0.177307508327646,0.523620562251818,0.790928450296727,1.07588569297841,1.53708761749772
famp6,Kx,2000,0.632991594049463,0.246461494674306,0.292180216091086,0.462515089520837,0.59985436037471,0.772127013491156,1.08851168083109
famp6,Ky,2000,0.837087992525406,0.540973655160927,0.139681035625531,0.49441031506146,0.761426903598164,1.0661804863573,1.75128345117089
famp6,Kz,2000,1.75127347655906,0.818194718290973,0.418585568788442,1.21735121834097,1.69230076219809,2.25721313553281,3.20091303468273
